edad,sum
0,4
1,5
2,1
3,4
4,3
5,5
6,1
7,2
8,4
10,1
11,1
12,3
13,4
14,5
15,3
16,5
17,8
18,4
19,12
20,13
21,13
22,21
23,16
24,20
25,26
26,27
27,20
28,32
29,22
30,35
31,47
32,38
33,54
34,56
35,59
36,59
37,67
38,88
39,73
40,108
41,116
42,132
43,155
44,160
45,158
46,164
47,186
48,215
49,250
50,307
51,284
52,340
53,381
54,441
55,456
56,496
57,536
58,551
59,576
60,655
61,701
62,802
63,803
64,852
65,849
66,870
67,909
68,984
69,977
70,1002
71,1063
72,1083
73,1082
74,1083
75,1108
76,1078
77,1088
78,1047
79,1028
80,967
81,900
82,868
83,781
84,780
85,694
86,557
87,496
88,403
89,391
90,268
91,226
92,191
93,154
94,112
95,85
96,37
97,39
98,26
99,19
100,8
101,9
102,8
103,2
104,2
105,2
