edad,sum
0,1
16,1
19,3
20,5
21,6
22,8
23,18
24,24
25,24
26,40
27,56
28,67
29,97
30,112
31,129
32,135
33,160
34,198
35,250
36,258
37,244
38,266
39,291
40,337
41,334
42,393
43,410
44,444
45,413
46,502
47,490
48,515
49,513
50,509
51,570
52,578
53,550
54,599
55,560
56,642
57,624
58,594
59,576
60,581
61,602
62,587
63,563
64,561
65,567
66,533
67,549
68,512
69,529
70,467
71,455
72,425
73,442
74,414
75,388
76,405
77,389
78,370
79,357
80,349
81,298
82,300
83,267
84,270
85,236
86,247
87,193
88,162
89,161
90,120
91,108
92,63
93,55
94,65
95,49
96,33
97,14
98,15
99,13
100,9
101,6
102,3
103,3
105,1
106,3
