edad,sum
0,6
17,1
18,1
19,1
20,2
21,1
22,10
23,11
24,17
25,24
26,23
27,39
28,62
29,61
30,82
31,107
32,108
33,157
34,172
35,194
36,240
37,242
38,354
39,362
40,394
41,458
42,470
43,575
44,584
45,646
46,671
47,664
48,693
49,814
50,753
51,782
52,861
53,853
54,927
55,896
56,876
57,926
58,862
59,849
60,821
61,898
62,768
63,744
64,742
65,767
66,659
67,676
68,623
69,605
70,600
71,560
72,544
73,514
74,495
75,438
76,471
77,402
78,435
79,399
80,378
81,369
82,345
83,318
84,296
85,275
86,265
87,256
88,208
89,197
90,172
91,133
92,128
93,103
94,89
95,83
96,37
97,23
98,28
99,15
100,13
101,7
102,3
103,4
104,1
105,1
106,1
